,Work,Lockdown,Supervisor
2020-09-13,59.0,2.0,34.0
2020-09-15,105.0,12.0,29.0
2020-09-16,110.0,7.0,52.0
2020-09-17,97.0,15.0,36.0
2020-09-18,93.0,11.0,35.0
2020-09-19,57.0,4.0,18.0
2020-09-20,78.0,6.0,30.0
2020-09-21,128.0,13.0,28.0
2020-09-22,128.0,11.0,60.0
2020-09-24,122.0,7.0,44.0
2020-09-26,73.0,2.0,16.0
2020-09-28,152.0,21.0,64.0
2020-10-03,88.0,11.0,25.0
2020-10-04,80.0,2.0,23.0
2020-10-05,209.0,7.0,51.0
2020-10-09,137.0,10.0,52.0
2020-10-10,84.0,12.0,25.0
2020-10-11,84.0,20.0,41.0
2020-10-12,162.0,15.0,54.0
2020-10-14,147.0,12.0,55.0
2020-10-15,142.0,9.0,52.0
2020-10-17,95.0,7.0,29.0
2020-10-18,134.0,15.0,42.0
2020-10-19,128.0,7.0,45.0
2020-10-20,116.0,24.0,52.0
2020-10-21,189.0,6.0,85.0
2020-10-24,99.0,7.0,42.0
2020-10-27,203.0,7.0,66.0
2020-10-29,162.0,12.0,69.0
2020-10-30,113.0,8.0,53.0
2020-11-03,76.0,6.0,28.0
2020-11-04,81.0,9.0,35.0
2020-11-06,75.0,3.0,36.0
2020-11-07,44.0,5.0,16.0
2020-11-08,55.0,5.0,25.0
2020-11-09,111.0,10.0,44.0
2020-11-10,112.0,12.0,55.0
2020-11-11,114.0,9.0,38.0
2020-11-15,63.0,8.0,36.0
2020-11-16,97.0,10.0,32.0
2020-11-23,144.0,8.0,64.0
2020-11-27,134.0,13.0,53.0
2020-11-29,62.0,10.0,21.0
2020-12-05,57.0,10.0,33.0
2020-12-06,35.0,9.0,19.0
2020-12-07,173.0,8.0,99.0
2020-12-08,680.0,12.0,480.0
2020-12-12,62.0,3.0,13.0
2020-12-14,102.0,20.0,49.0
2020-12-17,75.0,5.0,33.0
2020-12-18,89.0,2.0,40.0
2020-12-20,69.0,10.0,42.0
2020-12-22,53.0,8.0,17.0
2020-12-25,27.0,2.0,15.0
2020-12-28,75.0,11.0,28.0
2020-12-29,59.0,6.0,31.0
2021-01-02,52.0,4.0,15.0
2021-01-03,48.0,8.0,20.0
2021-01-06,76.0,15.0,26.0
2021-01-07,97.0,12.0,37.0
2021-01-09,69.0,8.0,29.0
2021-01-10,64.0,5.0,17.0
2021-01-11,98.0,10.0,30.0
2021-01-14,107.0,7.0,41.0
2021-01-15,119.0,14.0,39.0
2021-01-17,79.0,11.0,28.0
2021-01-18,119.0,10.0,43.0
2021-01-21,129.0,13.0,50.0
2021-01-25,109.0,11.0,34.0
2021-01-26,113.0,4.0,36.0
